ACE2,RBD,Score
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","-0.032351878,-0.0559463,-0.06501481 -0.028435616,-0.05491547,-0.11509451",5.5391
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.03622056,-0.03428107,-0.039133392 -0.012105076,-0.06929726,-0.07569118",7.237
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","-0.023163734,-0.055329908,-0.056702137 -0.021575771,-0.06267932,-0.10542683",5.5302
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008294074,-0.024623323,-0.057482157 -0.03919286,-0.041987896,-0.04487475",7.4768
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.010614625,-0.01888332,-0.0609688 -0.04184789,-0.038951673,-0.046921305",6.2819
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.009033507,-0.018093549,-0.06275415 -0.042456843,-0.038422853,-0.046361838",9.1473
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.004769126,-0.015648985,-0.073052056 -0.042160135,-0.044946197,-0.0382756",8.602
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","-0.00075938547,-0.018632594,-0.07374812 -0.04978489,-0.04151682,-0.037372645",8.3693
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.007093244,-0.02492592,-0.06714885 -0.036378343,-0.044027295,-0.04475196",11.2255
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.007602753,-0.018901287,-0.07042472 -0.040663507,-0.0424079,-0.042552765",9.0633
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008514289,-0.01768931,-0.0648784 -0.035916023,-0.039983876,-0.04378342",9.0228
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.015102239,-0.016957011,-0.06507687 -0.03901294,-0.03422022,-0.05299863",8.5876
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008414804,-0.01923854,-0.07633556 -0.048226625,-0.033714946,-0.047954753",5.5456
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008961738,-0.01791971,-0.07789032 -0.05099344,-0.038355123,-0.04540514",5.531
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0064307936,-0.024829485,-0.07980036 -0.048213802,-0.035376027,-0.05023133",5.5178
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0041502696,-0.026185542,-0.07177154 -0.04438784,-0.03092099,-0.050378546",5.5392
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0026189103,-0.019559463,-0.087235674 -0.05447485,-0.03352067,-0.036159832",5.6228
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.009496653,-0.022026803,-0.06462645 -0.03856474,-0.043876857,-0.049119275",5.5029
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008418533,-0.017130952,-0.056323368 -0.04253885,-0.046308447,-0.037347417",6.5081
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.023142694,-0.0027605628,-0.08252598 -0.06780611,-0.040215082,-0.035003077",7.0195
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.00818463,-0.025745703,-0.05883627 -0.034793608,-0.049494278,-0.040553235",7.3687
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.014689199,-0.026177924,-0.056753524 -0.03162397,-0.050624285,-0.052537207",7.3188
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.012901314,-0.027531208,-0.05670464 -0.03075763,-0.0486584,-0.051844496",7.1722
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.015571441,-0.025537059,-0.059165694 -0.030572593,-0.050394177,-0.051654145",7.1723
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.040610965,-0.029448994,-0.06105773 -0.0142391035,-0.07682903,-0.05424519",5.5712
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.035640333,-0.03353995,-0.05931757 -0.021651292,-0.07859977,-0.07498567",5.5853
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.043240417,-0.035719663,-0.058117926 -0.013166194,-0.0803627,-0.05870971",5.6357
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.014358389,-0.0011179049,-0.06930635 -0.023040747,-0.06880333,-0.011878538",5.8457
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.042896025,-0.02562217,-0.06400936 -0.032636236,-0.055277802,-0.039389763",5.5712
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.03252849,-0.0057009296,-0.06025492 -0.050784655,-0.05307722,-0.054704864",6.0358
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.035862625,-0.010587317,-0.06577323 -0.042538434,-0.06005918,-0.057722222",5.824
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.014718485,-0.020495415,-0.03129319 0.006141618,-0.10003012,-0.043400798",5.6178
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.03373173,-0.010375264,-0.044329967 0.0044004195,-0.09680416,-0.04631055",5.5989
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.014281388,-0.004096622,-0.07271382 0.005456233,-0.0837746,-0.03846404",5.5779
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.023055341,-0.015602402,-0.056835543 0.0006173855,-0.09598661,-0.046016414",5.6415
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0150032705,-0.0062314565,-0.06928141 -0.012619139,-0.08510872,-0.05029242",5.6766
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.047305156,-0.027902624,-0.049828533 0.020310806,-0.11023044,-0.050829515",5.6423
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.055727463,-0.02306349,-0.05343758 0.008865805,-0.106586814,-0.0383361",5.6362
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.04952701,-0.020896938,-0.042315926 0.018459592,-0.11392996,-0.055139825",5.7357
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.04850938,-0.026046049,-0.04342316 0.019246142,-0.10523409,-0.057524525",5.6079
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.02852333,-0.019014547,-0.04105543 -0.035657015,-0.07789605,-0.069617294",5.5785
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.024545735,-0.018399917,-0.038605507 -0.050071906,-0.079836726,-0.06728702",5.5573
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.02389335,-0.024832593,-0.03730356 -0.046193864,-0.08438938,-0.06293507",5.6055
